Restaurant_Item_Name,Food_Category,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
McDonald's McCafe Mango Pineapple Smoothie Small,Beverages,200.0,0.5,0.0,0.0,5.0,35.0,45.0,2.0,42.0,1.0
McDonald's McCafe Strawberry Shake w/ Whipped Cream & Maraschino Cherry Small,Beverages,520.0,15.0,10.0,1.0,60.0,170.0,66.0,11.0,73.0,0.0
McDonald's McCafe Strawberry Shake w/ Whipped Cream & Maraschino Cherry Large,Beverages,840.0,23.0,15.0,1.0,95.0,290.0,106.0,19.0,122.0,0.0
McDonald's McCafe Strawberry Shake w/ Whipped Cream & Maraschino Cherry Medium,Beverages,630.0,18.0,11.0,1.0,70.0,210.0,79.0,14.0,89.0,0.0
McDonald's McCafe Vanilla Shake w/ Whipped Cream & Maraschino Cherry Small,Beverages,210.0,15.0,9.0,1.0,60.0,170.0,64.0,11.0,60.0,0.0
McDonald's McCafe Vanilla Shake w/ Whipped Cream & Maraschino Cherry Medium,Beverages,610.0,17.0,11.0,1.0,70.0,210.0,76.0,13.0,73.0,0.0
McDonald's McCafe Vanilla Shake w/ Whipped Cream & Maraschino Cherry Large,Beverages,810.0,22.0,14.0,1.0,90.0,280.0,102.0,18.0,100.0,0.0
McDonald's McCafe Mango Pineapple Smoothie Large,Beverages,340.0,1.0,0.5,0.0,5.0,60.0,78.0,4.0,72.0,2.0
McDonald's Fat Free Chocolate Milk Jug,Beverages,130.0,0.0,0.0,0.0,5.0,135.0,23.0,9.0,22.0,0.0
McDonald's McCafe Mango Pineapple Smoothie Medium,Beverages,250.0,1.0,0.0,0.0,5.0,45.0,57.0,3.0,52.0,1.0
McDonald's McCafe Chocolate Shake w/ Whipped Cream & Maraschino Cherry Small,Beverages,530.0,15.0,10.0,1.0,60.0,240.0,68.0,12.0,73.0,1.0
McDonald's McCafe Chocolate Shake w/ Whipped Cream & Maraschino Cherry Medium,Beverages,630.0,18.0,11.0,1.0,70.0,290.0,81.0,14.0,88.0,1.0
McDonald's McCafe Chocolate Shake w/ Whipped Cream & Maraschino Cherry Large,Beverages,840.0,23.0,15.0,1.0,90.0,400.0,109.0,19.0,119.0,2.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Whipped Topping Large,Beverages,470.0,16.0,9.0,0.5,50.0,220.0,67.0,13.0,60.0,2.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Whipped Topping Small,Beverages,280.0,11.0,6.0,0.0,35.0,120.0,38.0,8.0,33.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk & Whipped Topping Large,Beverages,370.0,5.0,3.0,0.0,20.0,210.0,68.0,14.0,61.0,2.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk & Whipped Topping Small,Beverages,230.0,4.5,3.0,0.0,20.0,120.0,38.0,8.0,33.0,1.0
McDonald's McCafe Mocha w/ Whole Milk & Whipped Topping Small,Beverages,330.0,11.0,7.0,0.0,35.0,150.0,47.0,10.0,41.0,2.0
McDonald's McCafe Mocha w/ Whole Milk & Whipped Topping Large,Beverages,490.0,17.0,10.0,0.5,50.0,240.0,70.0,16.0,62.0,2.0
McDonald's McCafe Mocha w/ Nonfat Milk Whipped Topping & Chocolate Drizzle Small,Beverages,270.0,3.5,2.0,0.0,15.0,150.0,49.0,11.0,43.0,2.0
McDonald's McCafe Mocha w/ Nonfat Milk Whipped Topping & Chocolate Drizzle Large,Beverages,390.0,4.0,2.5,0.0,20.0,240.0,72.0,17.0,64.0,2.0
McDonald's McCafe Caramel Mocha w/ Whole Milk & Whipped Cream Small,Beverages,310.0,11.0,7.0,0.0,35.0,170.0,43.0,10.0,39.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk & Whipped Cream Medium,Beverages,380.0,13.0,8.0,0.0,40.0,210.0,54.0,12.0,47.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk & Whipped Cream Large,Beverages,470.0,16.0,10.0,0.5,50.0,270.0,65.0,15.0,57.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk & Whipped Cream Small,Beverages,240.0,3.0,2.0,0.0,15.0,170.0,44.0,10.0,38.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk & Whipped Cream Medium,Beverages,300.0,3.5,2.0,0.0,15.0,210.0,54.0,13.0,48.0,1.0
McDonald's McCafe Latte w/ Whole Milk Small,Beverages,170.0,9.0,5.0,0.0,25.0,115.0,14.0,9.0,12.0,1.0
McDonald's 20 Chicken McNuggets,Entrees,890.0,53.0,9.0,0.0,145.0,1680.0,53.0,49.0,0.0,2.0
McDonald's Apple Slices,Appetizers & Sides,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
McDonald's McCafe Frappe Chocolate Chip w/ Whipped Topping Caramel Drizzle & Chocolate Drizzle Sma,Beverages,500.0,21.0,14.0,1.0,60.0,125.0,72.0,7.0,63.0,1.0
McDonald's McCafe Frappe Chocolate Chip w/ Whipped Topping Caramel Drizzle & Chocolate Drizzle Med,Beverages,580.0,25.0,16.0,1.0,70.0,150.0,84.0,9.0,75.0,1.0
McDonald's McCafe Frappe Chocolate Chip w/ Whipped Topping Caramel Drizzle & Chocolate Drizzle Lar,Beverages,750.0,31.0,20.0,1.5,95.0,200.0,110.0,12.0,99.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk & Chocolate Drizzle Medium,Beverages,400.0,13.0,8.0,0.0,40.0,220.0,57.0,13.0,54.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk & Chocolate Drizzle Large,Beverages,500.0,17.0,10.0,0.5,50.0,280.0,69.0,17.0,66.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk Small,Beverages,220.0,7.0,3.5,0.0,20.0,115.0,32.0,7.0,30.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Chocolate Drizzle Large,Beverages,410.0,12.0,7.0,0.0,35.0,210.0,63.0,13.0,58.0,2.0
McDonald's McCafe Iced Caramel Mocha w/ Nonfat Milk Large,Beverages,290.0,1.0,0.5,0.0,5.0,240.0,57.0,13.0,53.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk Chocolate Drizzle Espresso & Chocolate Syrup Small,Beverages,170.0,0.5,0.0,0.0,5.0,115.0,34.0,7.0,31.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk & Chocolate Drizzle Medium,Beverages,220.0,1.0,0.0,0.0,5.0,140.0,44.0,9.0,40.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk & Chocolate Drizzle Large,Beverages,320.0,1.0,0.5,0.0,5.0,210.0,64.0,13.0,59.0,2.0
McDonald's McCafe Mocha w/ Whole Milk & Chocolate Drizzle Small,Beverages,300.0,9.0,5.0,0.0,25.0,150.0,45.0,10.0,40.0,2.0
